text,label
0%27||%0b@<@%0b||%0bnot+{x%0b(select%0b1)}=1<(%7e+{x%0b(select%0b1)}=1)%0bor%27,0
4%0b||+!%0b{x%0b(select+1)}=1%3C(~%0btrue)+,0
0%27or%0b1<@+||+{x+(select%0b1)}=1=+({x+(select%0b1)}=1)+or%27,1
0%27<@!=1.+or%0b%7e+{x%0b(select+1)}=1>(!%7efalse)--%0b,1
0'or+1<@.+||+not%0b{a+1}=1=%0b(not%0b{x+(select+1)}=1)%0b||',1
0%27+||+0=%0b(!%0b{a+1}=1)%0bor%270,1
0'||%0b1<@.+||%0b!+true<(~%0b{x+(select+1)}=1)+or',1
0%27or+!@<@+||+!%0b{x+(select%0b1)}=1%3C(!+false)+||%27,0
0'||+!@<@.%0bor+%7e+true>(not+{x+(select+1)}=1)%0b||',1
0%27<@=1%0bor+%7e%0b{`if`%0b1}=1=%0b(%7e+{`if`+1}=1)--%0b,1
0%27or%0b!@<@.+||%0b%7e+{x%0b(select%0b1)}=1=+(%7e%0bfalse)+||%27,1
0'<@=.1%0bor%0bnot+true=%0b(not%0b1)--%0b,1
0%27||%0b@<@%0bor%0b~+{a%0b1}=1=+(1)%0b||%27,1
0'<@=.1+or+not%0b{a%0b1}=1=%0b(!~false)--%0b,1
1'%0bor%0b%7e%0b0=+(~%0b{a+1}=1)+||'0,1
3%0bor+%7e%0b{x+(select%0b1)}=1=+(~+{`if`%0b1}=1)--+,1
0%27<@=1.+||%0bnot%0b{x+(select%0b1)}=1%3C(!%0b0)%23,0
0'<@!=.1+or%0b~+{`if`+1}=1=+(1)--%0b,1
0'||+!@<@.+or%0b!%0b{`if`%0b1}=1=%0b(not+{a+1}=1)%0bor',1
0'||+1<@%0b||+not~0%3C(~%0bfalse)%0bor',0
0%27<@=1%0bor%0b!%0b{a%0b1}=1%3C(1)--%0b,1
0'||+!@<@+||+~+{x%0b(select%0b1)}=1>(!+{`if`%0b1}=1)+or',0
3%27+or+%7e+{a%0b1}=1-(not+{`if`%0b1}=1)+||%270,1
0'||%0b!@<@.+or+!+{`if`+1}=1=%0b(!%0b{x%0b(select%0b1)}=1)%0bor',1
0%27||%0b@<@.+or%0b~+{a+1}=1=%0b(%7e%0b{x+(select+1)}=1)%0b||%27,1
7%0bor+~%0btrue=+(%7e+{a%0b1}=1)%0b,1
0%27or%0b!@<@+||+~+{x+(select%0b1)}=1%0b||%27,0
0%27<@=1+||%0b~%0b1=+(%7e%0b0)%0bor%27,1
0'||+@<@.%0b||%0bnot%0b{x%0b(select+1)}=1<(%7e+{x+(select%0b1)}=1)+||',1
0%27||+!@<@%0bor%0b{x%0b(select%0b1)}=1=+(~+{`if`+1}=1)+||%27,1
0'||%0b1<@%0bor+!+1%3C(~%0bfalse)+or',0
4%27%0b||+!+{`if`%0b1}=1=%0b(not+{`if`+1}=1)%0bor%270,1
0%27<@=1+or+%7e%0b{x+(select+1)}=1-(not+{x%0b(select+1)}=1)%0bor%27,1
3'+or%0b!+0-(!~0)+||'0,0
0'or%0b1<@%0b||+false=%0b(!%0b{`if`+1}=1)%0b||',1
0'<@!=1%0bor%0b~+true=%0b(%7e%0b{a%0b1}=1)--%0b,1
0'<@=1.%0bor%0b{a%0b1}=1=%0b(!%0bfalse)--%0b,1
0'<@!=1%0bor%0bnot%0btrue%3C(~+{a%0b1}=1)%0bor',1
7%0bor%0bnot+{x+(select+1)}=1<(~+false)+,0
0'or%0b@<@+||%0b!+0=+(%7e+{`if`%0b1}=1)%0b||',1
0%27or%0b!@<@%0b||+!+false>(false)+||%27,0
8'%0bor+%7e%0bfalse=+(not%0b0)+||'0,1
0%27||+1<@+||%0b!%0bfalse=+(~+{x%0b(select%0b1)}=1)%0bor%27,1
0%27||%0b1<@+or%0b!+{a+1}=1%3C(~+{x+(select+1)}=1)+||%27,0
0%27||%0b@<@.+or+{`if`+1}=1=%0b(%7e+{a%0b1}=1)+or%27,1
0%27or+1<@.+or+not%0b0>(!+true)+||%27,1
0%27or+!@<@.+or+~%0b{x+(select%0b1)}=1=+(%7e%0b{a+1}=1)%0b||%27,1
0%27||+1<@%0b||+not%0b{x%0b(select+1)}=1%3C(%7e+{`if`+1}=1)%0bor%27,0
0'||+!@<@%0b||%0b{`if`+1}=1-(not%0b{a%0b1}=1)%0bor',1
0%27||+@<@%0bor+!%0btrue=+(!%0b{x+(select%0b1)}=1)%0bor%27,1
0'||%0b@<@%0b||%0b%7e+1-(not%7efalse)+or',1
9%0bor%0b%7e%0b1>(!~0)%23,0
0'||%0b!@<@+or+%7e%0b{x%0b(select+1)}=1>(!%0b1)+or',0
4'+or+~+{x%0b(select+1)}=1>(!%0b1)+||'0,0
0'<@=1.%0bor+%7e+{a+1}=1-(!~false)%0bor',1
3%27%0bor%0b~%0b{a%0b1}=1=+(%7e+true)%0bor%270,1
0'<@!=.1%0bor+!%0btrue=+(not%0b{`if`+1}=1)--%0b,1
0'or+@<@+||%0b%7e+{x+(select+1)}=1=+(~%0b1)%0b||',0
0%27<@=.1%0b||%0bnot%0b0>(not%0b{x+(select+1)}=1)%0bor%27,1
8%0bor+%7e%0b{`if`+1}=1=+(~%0btrue)%0b,1
5%0b||+not%0b{x+(select+1)}=1<({a+1}=1)%0b,0
3'+or%0b%7e%0b1=+({`if`+1}=1)%0b||'0,1
7%0bor+!%0b{a%0b1}=1=+(not%0b{x%0b(select+1)}=1)+,1
0'||+@<@.+or%0b!+{a+1}=1=%0b(!%0b{x+(select%0b1)}=1)%0b||',1
0%27||%0b1<@+or+~+{a+1}=1=+(not+0)%0b||%27,0
2%27+||%0b!%0b{`if`%0b1}=1=+(!+{x+(select+1)}=1)%0bor%270,1
7'%0bor%0b!%0b{a%0b1}=1<(~+{x+(select+1)}=1)+||'0,0
0%27or%0b1<@%0b||+not%0b{a+1}=1%3C(~%0b{a%0b1}=1)+or%27,0
0'or+!@<@.%0b||+!%0btrue%3C(~%0b{x%0b(select%0b1)}=1)%0b||',1
0'or%0b!@<@.+||+not+1=%0b(not%7efalse)+||',1
0'||%0b1<@+or%0bnot+true<(~%0b{a+1}=1)%0b||',0
0%27or+!@<@.%0b||%0b!+{x%0b(select%0b1)}=1<(%7e+{a%0b1}=1)+or%27,1
3+||%0b~%0btrue=+(%7e+{x%0b(select+1)}=1)%23,1
0%27||%0b@<@%0b||+~%0b{a%0b1}=1=%0b({`if`%0b1}=1)%0bor%27,1
9+||+%7e+{x%0b(select+1)}=1>(not+{a%0b1}=1)+,0
0%27or+!@<@.%0b||%0b{a+1}=1-(not%0b{`if`+1}=1)%0b||%27,1
0'or+1<@+||+!%0b{x+(select+1)}=1%3C(not+0)+or',0
0'<@!=1+or%0b~%0b1=+(%7e+{a%0b1}=1)+||',1
0'||%0b!@<@+or%0b%7e%0b{`if`+1}=1>(not%0b{a%0b1}=1)+or',1
0'or+1<@.+||%0b~+{a%0b1}=1=+(~+{x+(select%0b1)}=1)%0bor',1
6'%0b||%0b~%0b0=+(%7e+{a+1}=1)%0bor'0,1
0%0bor+not%0b{x%0b(select+1)}=1<(%7e+{a%0b1}=1)--+,0
0%27or+!@<@+||+%7e+{a%0b1}=1-(!%0b{x%0b(select%0b1)}=1)+||%27,1
0'<@=1.+||+%7e+{`if`%0b1}=1=+(~%0b1)+or',1
1%27+||%0b~+{`if`+1}=1-(!+true)%0bor%270,1
0%27||%0b1<@%0bor%0bnot%7efalse<(%7e+{`if`+1}=1)+or%27,0
0'or%0b1<@+||%0b%7e%0b{x%0b(select+1)}=1-(!%7e0)%0b||',1
7%0bor%0b1=+(~+{x%0b(select%0b1)}=1)%23,1
6%27+||+not+true<(%7e+{x+(select+1)}=1)+||%270,0
0'||%0b1<@+or%0b%7e+{a%0b1}=1=%0b(~%0b0)%0b||',1
0'or%0b@<@.%0b||+!+0=+(%7e%0b{x+(select+1)}=1)%0b||',1
3%0bor%0b~+false=+(%7e+{x%0b(select+1)}=1)%23,1
0%27or%0b@<@.+or%0bnot%0b{x%0b(select%0b1)}=1%3C(!%0bfalse)%0bor%27,1
0'or+1<@.%0b||%0b%7e%0b{a%0b1}=1=%0b(%7e%0b{`if`%0b1}=1)+||',1
2%27%0bor+not+{x+(select%0b1)}=1%3C({`if`+1}=1)%0b||%270,0
5'%0bor+not%0b{`if`+1}=1%3C(!+false)%0bor'0,1
0%27or+@<@+or%0b!+{x%0b(select+1)}=1%3C({x+(select%0b1)}=1)%0b||%27,0
3%0b||+%7e+{x%0b(select%0b1)}=1>(!%0b{x+(select+1)}=1)--+,0
0'<@=.1+||+~+0=%0b(%7e+{x+(select+1)}=1)%0bor',1
0'<@=1%0b||%0b!+1=%0b(not+{`if`%0b1}=1)%0bor',1
0'or+@<@%0b||%0b~+true=+(%7e+{a%0b1}=1)+||',1
0'||%0b@<@.+or%0b~%0btrue=+(%7e+{x%0b(select+1)}=1)%0bor',1
2'%0bor+%7e%0b{`if`%0b1}=1=%0b(%7e+{x%0b(select+1)}=1)%0bor'0,1
0'||+!@<@%0bor%0bnot+{`if`+1}=1=%0b(not%7efalse)%0bor',1
0+||%0b~%0b{`if`+1}=1=%0b(%7e%0b{x%0b(select%0b1)}=1)%23,1
0%27or+1<@%0bor+~%0b{a%0b1}=1=+({x+(select%0b1)}=1)+or%27,1
0%27or%0b1<@.%0b||+%7e+{a+1}=1>(not%0b{x%0b(select+1)}=1)+||%27,1
8'+or%0b!%0b0>(not%7e0)+||'0,0
6%27+or%0bnot+{x%0b(select%0b1)}=1%3C(%7e+0)+or%270,0
0'or%0b@<@+or+%7e+{a+1}=1>(!+1)%0bor',0
0%27<@=1+||+~%0b{a%0b1}=1=+(%7e+{x+(select%0b1)}=1)--+,1
1+||+~+{x%0b(select+1)}=1=%0b(%7e%0b{x%0b(select+1)}=1)--%0b,1
0'||+@<@.+or%0b!+{x+(select%0b1)}=1%3C(%7e+{`if`%0b1}=1)%0bor',0
0%27or%0b!@<@.%0bor%0b!%0bfalse=+(!%0b0)+||%27,1
4%0bor+not%0b{a%0b1}=1%3C(%7e%0b{a%0b1}=1)--+,0
0%27||%0b1<@.+or+!+{x+(select+1)}=1=+(!~false)+||%27,1
0'or+1<@.+or%0b%7e%0b{x%0b(select+1)}=1>(not~false)%0bor',1
3+or+!+{a+1}=1%3C(%7e+1)%23,0
1%27%0b||+not%0b{x+(select%0b1)}=1=+(not+{x+(select+1)}=1)+or%270,1
0'or%0b!@<@+||%0bnot%0b{x%0b(select%0b1)}=1%3C(~%0b{a%0b1}=1)+||',0
7'+||%0bnot~0%3C({a+1}=1)+or'0,0
0'or+1<@.%0b||+%7e+{x%0b(select+1)}=1-(!+{`if`%0b1}=1)+||',1
0'||%0b@<@.+or%0bfalse=+(!+{`if`%0b1}=1)%0bor',1
0%27||+@<@+||+{x%0b(select+1)}=1=+(%7e%0btrue)+||%27,1
0%27or%0b!@<@.%0bor+not+0=%0b(%7e%0b{x+(select+1)}=1)%0bor%27,1
0'||+@<@+||+not+0=+(%7e%0bfalse)%0bor',0
0%27<@!=1+||%0b!%0b{`if`%0b1}=1=+(!+{x+(select+1)}=1)--%0b,1
0%27or+!@<@.%0bor+!+{a+1}=1=+(!+{x%0b(select+1)}=1)%0b||%27,1
3%0bor%0b~+{x+(select%0b1)}=1=+(1)+,1
0'or+1<@%0bor%0b%7e%0b{`if`%0b1}=1=%0b(%7e%0b1)+or',1
0%27or+@<@+or%0b!%0b1<(~%0b1)%0bor%27,0
0'<@!=1.+||+!+{`if`%0b1}=1<(~%0b{`if`%0b1}=1)%0bor',1
0%27or+@<@%0bor%0b~+false=+(~%0bfalse)+or%27,1
0'||%0b1<@+or+not%0b{x+(select%0b1)}=1=+(!+{a+1}=1)+or',1
0'||%0b1<@.%0b||%0b%7e+{x+(select%0b1)}=1=+(~+{x+(select%0b1)}=1)%0b||',1
0%27or+!@<@.%0bor%0b~+false-(!+{x+(select%0b1)}=1)%0b||%27,1
0%27or%0b@<@.+or%0b!+{`if`%0b1}=1<(%7e%0b{`if`+1}=1)%0bor%27,1
5%27+||%0bnot%0b{`if`+1}=1<(~+{`if`+1}=1)%0bor%270,1
0%27<@!=1+or%0b%7e%0b{x%0b(select+1)}=1%0bis+true+||%27,1
0'<@=1.%0bor%0bnot+1<(~%0b1)%0bor',1
0%27or%0b!@<@+or+not%0b{a%0b1}=1=+(!~0)%0bor%27,1
0%0b||+{x%0b(select+1)}=1-(!%0b{x%0b(select+1)}=1)%0b,1
0'or%0b1<@%0bor+!%0btrue=%0b(not%0b{a%0b1}=1)+||',1
0+||%0bnot%0b{x%0b(select%0b1)}=1<(~+{x%0b(select+1)}=1)--+,0
0'or+@<@.%0b||+not+{x%0b(select%0b1)}=1=+(not~0)+||',1
0%27||+!@<@.%0b||%0b!~false=+(!+true)+or%27,1
0'||%0b!@<@+||+~+{a+1}=1=+(~+true)%0bor',0
8'%0bor%0bnot+{`if`+1}=1=%0b(not+{x%0b(select+1)}=1)%0bor'0,1
0'<@=.1%0bor%0b~+{x%0b(select+1)}=1-(not%0b{a%0b1}=1)--+,1
0'or+@<@+or+not+0-(!+{x%0b(select%0b1)}=1)%0bor',0
7%27%0bor+!%7efalse=%0b(!%0b1)+or%270,1
0%27or%0b1<@+||%0b%7e%0b{x+(select%0b1)}=1>(!%0b{x+(select+1)}=1)+or%27,0
0'or+@<@.+or+%7e+{`if`%0b1}=1=%0b(~+{a%0b1}=1)+||',1
0'||%0b!@<@.+or+!+{a+1}=1%3C(not+0)%0bor',1
0%27<@!=1.%0band%0b!%0b{`if`%0b1}=1+or%27,1
5'+||%0b{`if`%0b1}=1=%0b(not+0)%0bor'0,1
0%27||+!@<@+||+~+{x+(select%0b1)}=1>(not%0b{x+(select+1)}=1)+or%27,0
7+or%0bnot+{a+1}=1<(~+{x%0b(select%0b1)}=1)--%0b,0
1'%0b||+%7e+{a+1}=1>(!%0b{x%0b(select%0b1)}=1)%0b||'0,0
1'+or%0b~%0b{x+(select%0b1)}=1=+({x%0b(select+1)}=1)+or'0,1
0%27||+!@<@+||%0b~%0b{`if`%0b1}=1=%0b({x%0b(select+1)}=1)%0b||%27,1
0%27or%0b!@<@.+or%0b~+{x%0b(select+1)}=1=+(~+{x%0b(select%0b1)}=1)%0b||%27,1
4%0bor+{x%0b(select+1)}=1-(!%0btrue)%0b,1
0%27||+!@<@.%0b||+0=+(!+{x+(select+1)}=1)+||%27,1
0'||+!@<@%0bor+~+1>(!+{a+1}=1)+||',0
0%27or%0b!@<@.%0b||+!%0b{x%0b(select+1)}=1<(%7e+{x%0b(select+1)}=1)%0b||%27,1
0'<@=.1+or+%7e+false=%0b(%7e%0b{`if`+1}=1)--+,1
0'or+1<@%0b||+!+true=%0b(not+{x%0b(select+1)}=1)+||',1
0'or+@<@.%0b||%0b!%0b{x+(select%0b1)}=1<(%7e%0b{x+(select%0b1)}=1)+||',1
0%27||+1<@+||%0b%7e%0b0=+(not+0)%0bor%27,0
0%27or+1<@.+or%0b!%0b{x+(select+1)}=1%3C(~%0btrue)%0b||%27,1
0%27||+1<@.%0bor%0b~+{`if`%0b1}=1=+(!+0)+||%27,1
5'%0bor%0b{x%0b(select+1)}=1=%0b(~+{x+(select%0b1)}=1)+||'0,1
0%27||+!@<@%0bor%0b%7e+{x%0b(select+1)}=1=%0b(not%0bfalse)%0bor%27,1
1%27%0bor+~+{x%0b(select+1)}=1=+(%7e%0b{`if`+1}=1)+||%270,1
0'||+1<@%0bor%0b~%0bfalse=+(not+false)%0bor',1
3+or+not%0b0>(not%0b{`if`+1}=1)--%0b,0
0'<@!=.1%0b||%0b%7e+{x%0b(select+1)}=1=+(~%0b1)%0bor',1
0%27or+!@<@+or%0b!%0b{a%0b1}=1<(~%0b{x%0b(select+1)}=1)%0bor%27,0
4'+||%0b%7e+{x%0b(select%0b1)}=1-(not+{x+(select+1)}=1)+||'0,0
3%27%0bor%0b%7e%0btrue=+(~+{a+1}=1)%0b||%270,1
1%0bor%0b~+0>(!%7efalse)%0b,0
4%27+or+%7e%0b{a%0b1}=1=+({x%0b(select%0b1)}=1)+||%270,1
0%0b||%0bnot+1%3C(%7e%0b{x+(select%0b1)}=1)--+,0
9'%0b||%0bnot%7efalse=%0b(!+{x+(select+1)}=1)%0bor'0,1
0'or+!@<@+or+not%0btrue%3C({x%0b(select%0b1)}=1)%0bor',0
5%0bor%0b~+{`if`+1}=1=+(not+false)%0b,1
0'or+@<@+or%0b!+{x+(select%0b1)}=1=+(not+{`if`%0b1}=1)%0b||',0
0'or%0b@<@+or%0b!+{`if`+1}=1=+(!%0b{x%0b(select+1)}=1)%0b||',1
0'||%0b!@<@+or+!+1%3C(%7e%0b{`if`%0b1}=1)%0b||',0
0'||+!@<@%0b||+~%0b{`if`+1}=1-(0)%0bor',1
0%27<@=1+||%0b%7e+{`if`+1}=1=+(~+{x%0b(select%0b1)}=1)%23,1
0%27or+@<@+||%0bnot%0b{a%0b1}=1%3C(not+0)+or%27,0
0%27or+!@<@.%0bor+{a+1}=1=+(%7e+0)%0bor%27,1
0%27||+1<@.%0bor+not+{a%0b1}=1%3C({`if`%0b1}=1)%0b||%27,1
0'||+1<@.%0b||+not+false>(!%0b{x+(select%0b1)}=1)%0b||',0
0'or+!@<@+||%0bnot+false>(!%0btrue)%0bor',0
0%27or+1<@.+||%0b%7e%0b{`if`%0b1}=1-(!+{`if`%0b1}=1)+||%27,1
4%27%0bor%0b%7e%0b{x%0b(select+1)}=1%0bis%0btrue%0bor%270,1
0'||%0b1<@.%0b||%0b!+true%3C(%7e+{x+(select+1)}=1)+or',1
0%27<@=.1+||+{x+(select%0b1)}=1>(not+{a+1}=1)%0b||%27,0
8%27+or%0b!%0b{x+(select+1)}=1<(%7e%0b{x%0b(select+1)}=1)+or%270,0
0%27||%0b@<@%0b||+not%0b{a+1}=1<(~%0b{`if`+1}=1)%0bor%27,0
8+or%0b%7e+{x%0b(select%0b1)}=1-(not%0b{x%0b(select+1)}=1)%0b,1
9%27+||+%7e%0b{x%0b(select%0b1)}=1>(!+{x+(select+1)}=1)+or%270,0
6%0b||%0b!+{x%0b(select+1)}=1<(~%0b{a%0b1}=1)%0b,0
0%27<@=.1%0bor+{x%0b(select+1)}=1-(!+{x+(select%0b1)}=1)+or%27,1
0'or+@<@.%0b||+not+{a+1}=1%3C(%7e+1)%0b||',1
1'%0b||+%7e%0b{x%0b(select%0b1)}=1=%0b(~+1)+||'0,1
0%27||%0b1<@.+||+~%0b{a%0b1}=1=%0b(%7e+{a+1}=1)+or%27,1
7%27%0bor+not+0=%0b(~+true)%0b||%270,1
0%27<@!=1.%0bor%0b~+{x%0b(select+1)}=1-(not%0b1)%0bor%27,1
0'<@!=.1%0b||+!%0b{x+(select%0b1)}=1<({x+(select%0b1)}=1)+or',1
0%27<@=1+||%0b!+{`if`+1}=1=+(not+1)%0bor%27,1
0%27||+!@<@+||%0bnot+{x+(select+1)}=1=%0b(not%0btrue)+||%27,0
0%27or%0b!@<@+||%0bnot%0b0>(not+{x%0b(select+1)}=1)%0bor%27,0
0%27<@=1.+||+1%0blike+{x+(select%0b1)}=1+or%27,1
0%27||+@<@.+||%0b~%0b{x%0b(select+1)}=1=%0b(%7e%0b{`if`+1}=1)%0bor%27,1
0'or+1<@%0b||%0b%7e%0b0-(not+{x%0b(select%0b1)}=1)%0b||',1
0%27or%0b@<@.%0b||%0b%7e+0-(not~false)+or%27,1
0%27||+1<@.+||+not%0b1%0bis%0bfalse+or%27,1
0%27<@=1%0bor%0bnot%0b0=+(~%0b{`if`%0b1}=1)%23,1
0%27<@=1.+or+~%0b1>(not%0b1)--+,1
9%27%0bor+not~false<({`if`+1}=1)+or%270,0
0'or+1<@%0b||%0b~+{x+(select+1)}=1=+(~%0b{`if`+1}=1)+or',1
0%27||+@<@+||%0bfalse<(%7e%0b{x%0b(select%0b1)}=1)+or%27,1
0%27<@=1+||%0b~+{x%0b(select%0b1)}=1-(!+1)--%0b,1
1'%0b||%0b%7e+{`if`+1}=1=%0b(%7e+{a+1}=1)+or'0,1
0%27or%0b@<@%0bor%0bnot+{`if`+1}=1%3C({x+(select%0b1)}=1)+or%27,1
0'<@=1.+||+not+{x+(select+1)}=1=%0b(not%0b{x+(select+1)}=1)--+,1
0'or+@<@.+or%0b!%0b0=%0b(~+{`if`%0b1}=1)+or',1
1'%0bor%0b~%0b{x%0b(select%0b1)}=1=+(%7e%0b{x+(select+1)}=1)%0b||'0,1
8%27+or%0b%7e%0b{x%0b(select%0b1)}=1=%0b(~+{`if`%0b1}=1)+or%270,1
4%27+||%0b~+{x%0b(select%0b1)}=1=+(~%0b{x%0b(select%0b1)}=1)+||%270,1
0'||+1<@.%0bor%0bnot+{`if`+1}=1=+(not+{`if`%0b1}=1)%0b||',1
6'%0b||+not+{x%0b(select%0b1)}=1%3C(~+{x+(select%0b1)}=1)%0bor'0,0
0%27<@=.1%0b||+!+{x+(select%0b1)}=1<({x%0b(select%0b1)}=1)--+,1
0%27<@!=1.+or%0b!+{a%0b1}=1=+(not%0b{x%0b(select+1)}=1)--+,1
0'or+!@<@%0b&&+not%7e0+or',1
1'+or%0bnot~false<(%7e+{a+1}=1)+or'0,0
0%27or+1<@.%0b||+not%0bfalse-(!%0b{a%0b1}=1)%0bor%27,1
1%0bor+!+{`if`%0b1}=1%3C(~%0bfalse)--%0b,1
0'||+!@<@.%0b||%0bnot+{`if`+1}=1=%0b(!%0b{`if`%0b1}=1)+or',1
0'<@!=1.+||%0b{a+1}=1%0bis+true%0bor',1
0%27||%0b!@<@%0b||+!+{x+(select+1)}=1<(%7e%0b{x+(select%0b1)}=1)+or%27,0
0'||%0b1<@+||+{x+(select+1)}=1=+(%7e+0)+or',1
3%0b||+not%0b{x+(select%0b1)}=1%3C({a%0b1}=1)+,0
0%27or+1<@%0bor%0b%7e+false>(not+1)+||%27,0
6%0bor+%7e%0b{a+1}=1=+({x+(select%0b1)}=1)--+,1
7%27+or+!~0=%0b(!%0b{`if`+1}=1)%0b||%270,1
0%27||%0b!@<@%0b||%0bnot%0b{x%0b(select%0b1)}=1<(~+false)%0bor%27,0
8%27+or%0b~%0b0>(!+{x%0b(select+1)}=1)+or%270,0
6'+or+!+{x+(select+1)}=1%3C(%7e+false)%0b||'0,0
0'||%0b@<@%0bor+false=%0b(!+{a+1}=1)+or',1
7%27%0bor+%7e%0b{a%0b1}=1>(not%0b{x%0b(select%0b1)}=1)%0b||%270,0
3'%0b||%0b%7e+{x+(select%0b1)}=1=+(!+false)+||'0,1
0%27||%0b1<@.%0bor+not%0b{`if`+1}=1<(~+{`if`%0b1}=1)+||%27,1
8'%0bor%0b%7e+{x%0b(select%0b1)}=1=+(~+{x+(select%0b1)}=1)%0b||'0,1
1'+or%0b%7e%0b0=+({a%0b1}=1)%0b||'0,1
0%27or%0b!@<@%0b||+not+{`if`%0b1}=1%3C(not+false)+||%27,1
8%27+or+%7e%0b{`if`+1}=1>(not%0b{x+(select+1)}=1)%0b||%270,1
0'<@=.1%0bor%0b~+0=+(%7e+{x%0b(select+1)}=1)+or',1
7'+||%0b%7e%0b{`if`%0b1}=1>(!~0)+or'0,1
0'||+!@<@%0bor%0b~+true-(not%0b{x+(select+1)}=1)+||',1
0%27||%0b@<@%0b||%0b1-(not~false)%0bor%27,1
0%27<@!=.1%0b||+~%0b{x+(select+1)}=1=+({x%0b(select+1)}=1)+||%27,1
0'||%0b!@<@%0bor%0b!%7e0%3C(~%0b0)%0bor',0
0'or%0b@<@.%0b||+{x%0b(select%0b1)}=1=%0b({x+(select+1)}=1)%0bor',1
7%0b||+not%0b{x%0b(select+1)}=1<(~+{`if`+1}=1)+,0
0'<@!=.1%0bor+~%0btrue>(!+{x%0b(select+1)}=1)%0b||',1
0%0bor%0b~%0btrue=+(~+{a%0b1}=1)%0b,1
6'%0bor+not~0<(~+{a%0b1}=1)%0bor'0,0
0'or+1<@.%0bor+not%7e0<({a+1}=1)+||',1
0'<@=.1%0bor+!%0b{a+1}=1=%0b(not%0b{x+(select%0b1)}=1)+or',1
0%27<@=.1+||+~+{`if`%0b1}=1-(not%0btrue)+or%27,1
4'%0b||+not%0b{`if`%0b1}=1%3C({x+(select%0b1)}=1)+||'0,1
7%27+or%0b!%0b1%3C(true)%0b||%270,0
0'<@=1.+or%0bnot+{a+1}=1<(~%0b{x+(select+1)}=1)+or',1
9'+||%0b%7e+0=%0b(%7e+{a%0b1}=1)+or'0,1
0%27or+@<@.+or+!+true%3C(~%0b{`if`%0b1}=1)+||%27,1
0%27<@!=1%0bor+not%0bfalse=+(~%0b{x+(select%0b1)}=1)--+,1
5'%0bor+~%0b{`if`%0b1}=1=+(~%0b{x%0b(select+1)}=1)+||'0,1
0%27or%0b@<@+or%0b%7e+true=%0b(%7e+true)%0b||%27,1
7%27+or%0b%7e+{a+1}=1=%0b({x%0b(select%0b1)}=1)%0bor%270,1
2%27+||%0bnot+{x+(select%0b1)}=1<(%7e%0b{x%0b(select+1)}=1)%0bor%270,0
0'||+!@<@%0bor%0b%7e%0b{a+1}=1>(not%0b{`if`+1}=1)+||',0
0'||+1<@.%0bor+!+{`if`%0b1}=1=+(!%0b{x+(select+1)}=1)+||',1
6'+||+not~false=%0b(!%0b{x+(select+1)}=1)+||'0,1
0'||%0b!@<@.%0bor%0bnot%0b{x%0b(select%0b1)}=1=%0b(not%0b{x+(select%0b1)}=1)%0b||',1
0%27||%0b!@<@%0b||%0b%7e+{x+(select%0b1)}=1>(!%0b{x+(select%0b1)}=1)+or%27,0
0%27<@!=1%0bor+!%0b1<(!%0b0)%0bor%27,1
0'or+1<@+||%0bnot+0=%0b(%7e%0b{x+(select+1)}=1)+or',1
0%27<@!=1%0b||+not+{`if`+1}=1%3C(~%0b{x+(select%0b1)}=1)--+,1
0%27or+1<@.%0bor%0bnot%0b{x%0b(select%0b1)}=1%3C(%7e+{a%0b1}=1)%0bor%27,1
0%27||%0b!@<@.%0b||+~%0b{x%0b(select+1)}=1=+(%7e%0b{x+(select+1)}=1)%0b||%27,1
0'or+1<@+or%0b!~false=+(not~false)+or',0
0%27<@=.1%0b||+%7e%0b0=%0b(~+{x+(select%0b1)}=1)%23,1
0'||+@<@%0bor%0bnot%7e0<(~%0b{a%0b1}=1)+or',0
0%27<@=1.+||%0b%7e%0b{x%0b(select+1)}=1=+(not+false)%0b||%27,1
0%27||%0b1<@.%0b||+~%0b{`if`%0b1}=1=+(~%0b{x%0b(select%0b1)}=1)%0b||%27,1
8%27%0bor%0bnot%7e0=%0b(!+{`if`+1}=1)%0bor%270,1
0%27or%0b@<@.+||+%7e+{x%0b(select%0b1)}=1=%0b(%7e+{x%0b(select%0b1)}=1)+||%27,1
0'or%0b1<@%0bor+{x%0b(select+1)}=1-(not+{x%0b(select+1)}=1)+||',1
0'||+!@<@.%0bor+1=+({a+1}=1)+or',1
0%27||+@<@.%0bor+!%0btrue=+(!+true)%0bor%27,1
0%27or%0b!@<@%0bor%0b~+{x%0b(select%0b1)}=1=%0b(~%0b{x+(select%0b1)}=1)%0b||%27,1
8%0bor+~%0bfalse-(not+{x%0b(select%0b1)}=1)%23,1
9%27+or%0bnot%0b{x%0b(select%0b1)}=1=+(!+{x%0b(select%0b1)}=1)%0bor%270,1
0%27or+!@<@+or%0bnot%0b{x%0b(select+1)}=1<(~%0b{x+(select%0b1)}=1)+or%27,0
2%0bor+!~false=+(!%0b{a%0b1}=1)+,0
8%27%0b||+not%0b{`if`%0b1}=1=+(!+{x%0b(select+1)}=1)+||%270,1
8'%0b||%0b!+{a%0b1}=1<(~+false)+or'0,0
0+;select+sleep(3)--+,0
9%27+or%0b%7e+{a%0b1}=1=%0b({x%0b(select+1)}=1)%0b||%270,1
0'<@!=1+or+%7e+0>(false)--%0b,0
